Store,SL SKU có trong Order,Nhóm Store,SL SKU của Nhóm Store,SL SKU Thiếu,SL SKU Thừa,SKU Thiếu,SKU Thừa
174,874,No Group,441,4,0,[3322308 3322309 3571173 3571174],[]
2039,324,G3,88,9,83,[3418307 3418309 3418310 3418312 3418313 3418315 3426465 3426466 3457682],"[3001608 3065918 3065920 3176166 3176167 3176168 3176169 3218520 3256115
 3301037 3301038 3371966 3377144 3377146 3377148 3377150 3377953 3386246
 3386250 3398962 3398963 3402212 3405496 3411926 3412572 3414826 3414827
 3416899 3419725 3422273 3433708 3435319 3435320 3441593 3441594 3441595
 3441596 3449069 3449070 3455045 3460395 3460396 3473364 3481115 3492931
 3498913 3499491 3499493 3507279 3508927 3508928 3510207 3516279 3521830
 3523249 3523250 3523251 3525338 3526680 3527558 3528816 3535592 3545597
 3546769 3551308 3557669 3559763 3559764 3563155 3563156 3563157 3563579
 3563580 3567253 3570361 3570362 3572645 3573561 3575165 3575673 3575674
 3575675 3575677]"
2063,236,G2,56,1,63,[3457682],"[3065920 3176166 3176167 3176168 3176169 3218520 3256115 3301037 3371966
 3377144 3377953 3386246 3386250 3398962 3398963 3402212 3405496 3411926
 3414826 3414827 3416899 3435319 3435320 3441593 3441594 3441595 3441596
 3449069 3449070 3455045 3460395 3460396 3473364 3498913 3499491 3507279
 3508927 3508928 3510207 3516279 3523249 3523250 3523251 3526680 3527558
 3528816 3545597 3546769 3551308 3559763 3559764 3563155 3563157 3563579
 3563580 3567253 3572645 3573561 3575165 3575673 3575674 3575675 3575677]"
2046,236,G2,56,1,63,[3457682],"[3065920 3176166 3176167 3176168 3176169 3218520 3256115 3301037 3371966
 3377144 3377953 3386246 3386250 3398962 3398963 3402212 3405496 3411926
 3414826 3414827 3416899 3435319 3435320 3441593 3441594 3441595 3441596
 3449069 3449070 3455045 3460395 3460396 3473364 3498913 3499491 3507279
 3508927 3508928 3510207 3516279 3523249 3523250 3523251 3526680 3527558
 3528816 3545597 3546769 3551308 3559763 3559764 3563155 3563157 3563579
 3563580 3567253 3572645 3573561 3575165 3575673 3575674 3575675 3575677]"
2072,236,G2,56,1,63,[3457682],"[3065920 3176166 3176167 3176168 3176169 3218520 3256115 3301037 3371966
 3377144 3377953 3386246 3386250 3398962 3398963 3402212 3405496 3411926
 3414826 3414827 3416899 3435319 3435320 3441593 3441594 3441595 3441596
 3449069 3449070 3455045 3460395 3460396 3473364 3498913 3499491 3507279
 3508927 3508928 3510207 3516279 3523249 3523250 3523251 3526680 3527558
 3528816 3545597 3546769 3551308 3559763 3559764 3563155 3563157 3563579
 3563580 3567253 3572645 3573561 3575165 3575673 3575674 3575675 3575677]"
173,874,No Group,441,4,0,[3322308 3322309 3571173 3571174],[]
2005,236,G2,56,1,63,[3457682],"[3065920 3176166 3176167 3176168 3176169 3218520 3256115 3301037 3371966
 3377144 3377953 3386246 3386250 3398962 3398963 3402212 3405496 3411926
 3414826 3414827 3416899 3435319 3435320 3441593 3441594 3441595 3441596
 3449069 3449070 3455045 3460395 3460396 3473364 3498913 3499491 3507279
 3508927 3508928 3510207 3516279 3523249 3523250 3523251 3526680 3527558
 3528816 3545597 3546769 3551308 3559763 3559764 3563155 3563157 3563579
 3563580 3567253 3572645 3573561 3575165 3575673 3575674 3575675 3575677]"
245,236,G2,56,1,63,[3457682],"[3065920 3176166 3176167 3176168 3176169 3218520 3256115 3301037 3371966
 3377144 3377953 3386246 3386250 3398962 3398963 3402212 3405496 3411926
 3414826 3414827 3416899 3435319 3435320 3441593 3441594 3441595 3441596
 3449069 3449070 3455045 3460395 3460396 3473364 3498913 3499491 3507279
 3508927 3508928 3510207 3516279 3523249 3523250 3523251 3526680 3527558
 3528816 3545597 3546769 3551308 3559763 3559764 3563155 3563157 3563579
 3563580 3567253 3572645 3573561 3575165 3575673 3575674 3575675 3575677]"
18506,874,No Group,441,4,0,[3322308 3322309 3571173 3571174],[]
131,874,No Group,441,4,0,[3322308 3322309 3571173 3571174],[]
237,342,G4,97,9,83,[3418307 3418309 3418310 3418312 3418313 3418315 3426465 3426466 3457682],"[3001608 3065918 3065920 3176166 3176167 3176168 3176169 3218520 3256115
 3301037 3301038 3371966 3377144 3377146 3377148 3377150 3377953 3386246
 3386250 3398962 3398963 3402212 3405496 3411926 3412572 3414826 3414827
 3416899 3419725 3422273 3433708 3435319 3435320 3441593 3441594 3441595
 3441596 3449069 3449070 3455045 3460395 3460396 3473364 3481115 3492931
 3498913 3499491 3499493 3507279 3508927 3508928 3510207 3516279 3521830
 3523249 3523250 3523251 3525338 3526680 3527558 3528816 3535592 3545597
 3546769 3551308 3557669 3559763 3559764 3563155 3563156 3563157 3563579
 3563580 3567253 3570361 3570362 3572645 3573561 3575165 3575673 3575674
 3575675 3575677]"
643,132,G1,35,1,32,[3457682],"[3218520 3301037 3377144 3405496 3414826 3414827 3416899 3441593 3441595
 3449069 3449070 3460395 3460396 3473364 3498913 3508927 3508928 3510207
 3516279 3523249 3523250 3523251 3526680 3528816 3545597 3546769 3551308
 3559764 3563157 3563580 3572645 3573561]"
9329,874,No Group,441,4,0,[3322308 3322309 3571173 3571174],[]
2048,324,G3,88,9,83,[3418307 3418309 3418310 3418312 3418313 3418315 3426465 3426466 3457682],"[3001608 3065918 3065920 3176166 3176167 3176168 3176169 3218520 3256115
 3301037 3301038 3371966 3377144 3377146 3377148 3377150 3377953 3386246
 3386250 3398962 3398963 3402212 3405496 3411926 3412572 3414826 3414827
 3416899 3419725 3422273 3433708 3435319 3435320 3441593 3441594 3441595
 3441596 3449069 3449070 3455045 3460395 3460396 3473364 3481115 3492931
 3498913 3499491 3499493 3507279 3508927 3508928 3510207 3516279 3521830
 3523249 3523250 3523251 3525338 3526680 3527558 3528816 3535592 3545597
 3546769 3551308 3557669 3559763 3559764 3563155 3563156 3563157 3563579
 3563580 3567253 3570361 3570362 3572645 3573561 3575165 3575673 3575674
 3575675 3575677]"
9205,236,G2,56,1,63,[3457682],"[3065920 3176166 3176167 3176168 3176169 3218520 3256115 3301037 3371966
 3377144 3377953 3386246 3386250 3398962 3398963 3402212 3405496 3411926
 3414826 3414827 3416899 3435319 3435320 3441593 3441594 3441595 3441596
 3449069 3449070 3455045 3460395 3460396 3473364 3498913 3499491 3507279
 3508927 3508928 3510207 3516279 3523249 3523250 3523251 3526680 3527558
 3528816 3545597 3546769 3551308 3559763 3559764 3563155 3563157 3563579
 3563580 3567253 3572645 3573561 3575165 3575673 3575674 3575675 3575677]"
2149,236,G2,56,1,63,[3457682],"[3065920 3176166 3176167 3176168 3176169 3218520 3256115 3301037 3371966
 3377144 3377953 3386246 3386250 3398962 3398963 3402212 3405496 3411926
 3414826 3414827 3416899 3435319 3435320 3441593 3441594 3441595 3441596
 3449069 3449070 3455045 3460395 3460396 3473364 3498913 3499491 3507279
 3508927 3508928 3510207 3516279 3523249 3523250 3523251 3526680 3527558
 3528816 3545597 3546769 3551308 3559763 3559764 3563155 3563157 3563579
 3563580 3567253 3572645 3573561 3575165 3575673 3575674 3575675 3575677]"
405,236,G2,56,1,63,[3457682],"[3065920 3176166 3176167 3176168 3176169 3218520 3256115 3301037 3371966
 3377144 3377953 3386246 3386250 3398962 3398963 3402212 3405496 3411926
 3414826 3414827 3416899 3435319 3435320 3441593 3441594 3441595 3441596
 3449069 3449070 3455045 3460395 3460396 3473364 3498913 3499491 3507279
 3508927 3508928 3510207 3516279 3523249 3523250 3523251 3526680 3527558
 3528816 3545597 3546769 3551308 3559763 3559764 3563155 3563157 3563579
 3563580 3567253 3572645 3573561 3575165 3575673 3575674 3575675 3575677]"
9503,324,G3,88,9,83,[3418307 3418309 3418310 3418312 3418313 3418315 3426465 3426466 3457682],"[3001608 3065918 3065920 3176166 3176167 3176168 3176169 3218520 3256115
 3301037 3301038 3371966 3377144 3377146 3377148 3377150 3377953 3386246
 3386250 3398962 3398963 3402212 3405496 3411926 3412572 3414826 3414827
 3416899 3419725 3422273 3433708 3435319 3435320 3441593 3441594 3441595
 3441596 3449069 3449070 3455045 3460395 3460396 3473364 3481115 3492931
 3498913 3499491 3499493 3507279 3508927 3508928 3510207 3516279 3521830
 3523249 3523250 3523251 3525338 3526680 3527558 3528816 3535592 3545597
 3546769 3551308 3557669 3559763 3559764 3563155 3563156 3563157 3563579
 3563580 3567253 3570361 3570362 3572645 3573561 3575165 3575673 3575674
 3575675 3575677]"
199,874,No Group,441,4,0,[3322308 3322309 3571173 3571174],[]
9422,874,No Group,441,4,0,[3322308 3322309 3571173 3571174],[]
2106,236,G2,56,1,63,[3457682],"[3065920 3176166 3176167 3176168 3176169 3218520 3256115 3301037 3371966
 3377144 3377953 3386246 3386250 3398962 3398963 3402212 3405496 3411926
 3414826 3414827 3416899 3435319 3435320 3441593 3441594 3441595 3441596
 3449069 3449070 3455045 3460395 3460396 3473364 3498913 3499491 3507279
 3508927 3508928 3510207 3516279 3523249 3523250 3523251 3526680 3527558
 3528816 3545597 3546769 3551308 3559763 3559764 3563155 3563157 3563579
 3563580 3567253 3572645 3573561 3575165 3575673 3575674 3575675 3575677]"
15005,874,No Group,441,4,0,[3322308 3322309 3571173 3571174],[]
123,874,No Group,441,4,0,[3322308 3322309 3571173 3571174],[]
135,874,No Group,441,4,0,[3322308 3322309 3571173 3571174],[]
175,874,No Group,441,4,0,[3322308 3322309 3571173 3571174],[]
2157,236,G2,56,1,63,[3457682],"[3065920 3176166 3176167 3176168 3176169 3218520 3256115 3301037 3371966
 3377144 3377953 3386246 3386250 3398962 3398963 3402212 3405496 3411926
 3414826 3414827 3416899 3435319 3435320 3441593 3441594 3441595 3441596
 3449069 3449070 3455045 3460395 3460396 3473364 3498913 3499491 3507279
 3508927 3508928 3510207 3516279 3523249 3523250 3523251 3526680 3527558
 3528816 3545597 3546769 3551308 3559763 3559764 3563155 3563157 3563579
 3563580 3567253 3572645 3573561 3575165 3575673 3575674 3575675 3575677]"
154,874,No Group,441,4,0,[3322308 3322309 3571173 3571174],[]
9138,236,G2,56,1,63,[3457682],"[3065920 3176166 3176167 3176168 3176169 3218520 3256115 3301037 3371966
 3377144 3377953 3386246 3386250 3398962 3398963 3402212 3405496 3411926
 3414826 3414827 3416899 3435319 3435320 3441593 3441594 3441595 3441596
 3449069 3449070 3455045 3460395 3460396 3473364 3498913 3499491 3507279
 3508927 3508928 3510207 3516279 3523249 3523250 3523251 3526680 3527558
 3528816 3545597 3546769 3551308 3559763 3559764 3563155 3563157 3563579
 3563580 3567253 3572645 3573561 3575165 3575673 3575674 3575675 3575677]"
9414,132,G1,35,1,32,[3457682],"[3218520 3301037 3377144 3405496 3414826 3414827 3416899 3441593 3441595
 3449069 3449070 3460395 3460396 3473364 3498913 3508927 3508928 3510207
 3516279 3523249 3523250 3523251 3526680 3528816 3545597 3546769 3551308
 3559764 3563157 3563580 3572645 3573561]"
2096,324,G3,88,9,83,[3418307 3418309 3418310 3418312 3418313 3418315 3426465 3426466 3457682],"[3001608 3065918 3065920 3176166 3176167 3176168 3176169 3218520 3256115
 3301037 3301038 3371966 3377144 3377146 3377148 3377150 3377953 3386246
 3386250 3398962 3398963 3402212 3405496 3411926 3412572 3414826 3414827
 3416899 3419725 3422273 3433708 3435319 3435320 3441593 3441594 3441595
 3441596 3449069 3449070 3455045 3460395 3460396 3473364 3481115 3492931
 3498913 3499491 3499493 3507279 3508927 3508928 3510207 3516279 3521830
 3523249 3523250 3523251 3525338 3526680 3527558 3528816 3535592 3545597
 3546769 3551308 3557669 3559763 3559764 3563155 3563156 3563157 3563579
 3563580 3567253 3570361 3570362 3572645 3573561 3575165 3575673 3575674
 3575675 3575677]"
2029,236,G2,56,1,63,[3457682],"[3065920 3176166 3176167 3176168 3176169 3218520 3256115 3301037 3371966
 3377144 3377953 3386246 3386250 3398962 3398963 3402212 3405496 3411926
 3414826 3414827 3416899 3435319 3435320 3441593 3441594 3441595 3441596
 3449069 3449070 3455045 3460395 3460396 3473364 3498913 3499491 3507279
 3508927 3508928 3510207 3516279 3523249 3523250 3523251 3526680 3527558
 3528816 3545597 3546769 3551308 3559763 3559764 3563155 3563157 3563579
 3563580 3567253 3572645 3573561 3575165 3575673 3575674 3575675 3575677]"
9154,236,G2,56,1,63,[3457682],"[3065920 3176166 3176167 3176168 3176169 3218520 3256115 3301037 3371966
 3377144 3377953 3386246 3386250 3398962 3398963 3402212 3405496 3411926
 3414826 3414827 3416899 3435319 3435320 3441593 3441594 3441595 3441596
 3449069 3449070 3455045 3460395 3460396 3473364 3498913 3499491 3507279
 3508927 3508928 3510207 3516279 3523249 3523250 3523251 3526680 3527558
 3528816 3545597 3546769 3551308 3559763 3559764 3563155 3563157 3563579
 3563580 3567253 3572645 3573561 3575165 3575673 3575674 3575675 3575677]"
678,132,G1,35,1,32,[3457682],"[3218520 3301037 3377144 3405496 3414826 3414827 3416899 3441593 3441595
 3449069 3449070 3460395 3460396 3473364 3498913 3508927 3508928 3510207
 3516279 3523249 3523250 3523251 3526680 3528816 3545597 3546769 3551308
 3559764 3563157 3563580 3572645 3573561]"
9327,132,G1,35,1,32,[3457682],"[3218520 3301037 3377144 3405496 3414826 3414827 3416899 3441593 3441595
 3449069 3449070 3460395 3460396 3473364 3498913 3508927 3508928 3510207
 3516279 3523249 3523250 3523251 3526680 3528816 3545597 3546769 3551308
 3559764 3563157 3563580 3572645 3573561]"
2065,236,G2,56,1,63,[3457682],"[3065920 3176166 3176167 3176168 3176169 3218520 3256115 3301037 3371966
 3377144 3377953 3386246 3386250 3398962 3398963 3402212 3405496 3411926
 3414826 3414827 3416899 3435319 3435320 3441593 3441594 3441595 3441596
 3449069 3449070 3455045 3460395 3460396 3473364 3498913 3499491 3507279
 3508927 3508928 3510207 3516279 3523249 3523250 3523251 3526680 3527558
 3528816 3545597 3546769 3551308 3559763 3559764 3563155 3563157 3563579
 3563580 3567253 3572645 3573561 3575165 3575673 3575674 3575675 3575677]"
229,324,G3,88,9,83,[3418307 3418309 3418310 3418312 3418313 3418315 3426465 3426466 3457682],"[3001608 3065918 3065920 3176166 3176167 3176168 3176169 3218520 3256115
 3301037 3301038 3371966 3377144 3377146 3377148 3377150 3377953 3386246
 3386250 3398962 3398963 3402212 3405496 3411926 3412572 3414826 3414827
 3416899 3419725 3422273 3433708 3435319 3435320 3441593 3441594 3441595
 3441596 3449069 3449070 3455045 3460395 3460396 3473364 3481115 3492931
 3498913 3499491 3499493 3507279 3508927 3508928 3510207 3516279 3521830
 3523249 3523250 3523251 3525338 3526680 3527558 3528816 3535592 3545597
 3546769 3551308 3557669 3559763 3559764 3563155 3563156 3563157 3563579
 3563580 3567253 3570361 3570362 3572645 3573561 3575165 3575673 3575674
 3575675 3575677]"
12001,874,No Group,441,4,0,[3322308 3322309 3571173 3571174],[]
9309,324,G3,88,9,83,[3418307 3418309 3418310 3418312 3418313 3418315 3426465 3426466 3457682],"[3001608 3065918 3065920 3176166 3176167 3176168 3176169 3218520 3256115
 3301037 3301038 3371966 3377144 3377146 3377148 3377150 3377953 3386246
 3386250 3398962 3398963 3402212 3405496 3411926 3412572 3414826 3414827
 3416899 3419725 3422273 3433708 3435319 3435320 3441593 3441594 3441595
 3441596 3449069 3449070 3455045 3460395 3460396 3473364 3481115 3492931
 3498913 3499491 3499493 3507279 3508927 3508928 3510207 3516279 3521830
 3523249 3523250 3523251 3525338 3526680 3527558 3528816 3535592 3545597
 3546769 3551308 3557669 3559763 3559764 3563155 3563156 3563157 3563579
 3563580 3567253 3570361 3570362 3572645 3573561 3575165 3575673 3575674
 3575675 3575677]"
2064,324,G3,88,9,83,[3418307 3418309 3418310 3418312 3418313 3418315 3426465 3426466 3457682],"[3001608 3065918 3065920 3176166 3176167 3176168 3176169 3218520 3256115
 3301037 3301038 3371966 3377144 3377146 3377148 3377150 3377953 3386246
 3386250 3398962 3398963 3402212 3405496 3411926 3412572 3414826 3414827
 3416899 3419725 3422273 3433708 3435319 3435320 3441593 3441594 3441595
 3441596 3449069 3449070 3455045 3460395 3460396 3473364 3481115 3492931
 3498913 3499491 3499493 3507279 3508927 3508928 3510207 3516279 3521830
 3523249 3523250 3523251 3525338 3526680 3527558 3528816 3535592 3545597
 3546769 3551308 3557669 3559763 3559764 3563155 3563156 3563157 3563579
 3563580 3567253 3570361 3570362 3572645 3573561 3575165 3575673 3575674
 3575675 3575677]"
553,874,No Group,441,4,0,[3322308 3322309 3571173 3571174],[]
2114,324,G3,88,9,83,[3418307 3418309 3418310 3418312 3418313 3418315 3426465 3426466 3457682],"[3001608 3065918 3065920 3176166 3176167 3176168 3176169 3218520 3256115
 3301037 3301038 3371966 3377144 3377146 3377148 3377150 3377953 3386246
 3386250 3398962 3398963 3402212 3405496 3411926 3412572 3414826 3414827
 3416899 3419725 3422273 3433708 3435319 3435320 3441593 3441594 3441595
 3441596 3449069 3449070 3455045 3460395 3460396 3473364 3481115 3492931
 3498913 3499491 3499493 3507279 3508927 3508928 3510207 3516279 3521830
 3523249 3523250 3523251 3525338 3526680 3527558 3528816 3535592 3545597
 3546769 3551308 3557669 3559763 3559764 3563155 3563156 3563157 3563579
 3563580 3567253 3570361 3570362 3572645 3573561 3575165 3575673 3575674
 3575675 3575677]"
507,874,No Group,441,4,0,[3322308 3322309 3571173 3571174],[]
9146,236,G2,56,1,63,[3457682],"[3065920 3176166 3176167 3176168 3176169 3218520 3256115 3301037 3371966
 3377144 3377953 3386246 3386250 3398962 3398963 3402212 3405496 3411926
 3414826 3414827 3416899 3435319 3435320 3441593 3441594 3441595 3441596
 3449069 3449070 3455045 3460395 3460396 3473364 3498913 3499491 3507279
 3508927 3508928 3510207 3516279 3523249 3523250 3523251 3526680 3527558
 3528816 3545597 3546769 3551308 3559763 3559764 3563155 3563157 3563579
 3563580 3567253 3572645 3573561 3575165 3575673 3575674 3575675 3575677]"
