Store,SL SKU có trong Order,Nhóm Store,SL SKU của Nhóm Store,SL SKU Thiếu,SL SKU Thừa
174,874,No Group,441,4,0
2039,324,G3,88,9,83
2063,236,G2,56,1,63
2046,236,G2,56,1,63
2072,236,G2,56,1,63
173,874,No Group,441,4,0
2005,236,G2,56,1,63
245,236,G2,56,1,63
18506,874,No Group,441,4,0
131,874,No Group,441,4,0
237,342,G4,97,9,83
643,132,G1,35,1,32
9329,874,No Group,441,4,0
2048,324,G3,88,9,83
9205,236,G2,56,1,63
2149,236,G2,56,1,63
405,236,G2,56,1,63
9503,324,G3,88,9,83
199,874,No Group,441,4,0
9422,874,No Group,441,4,0
2106,236,G2,56,1,63
15005,874,No Group,441,4,0
123,874,No Group,441,4,0
135,874,No Group,441,4,0
175,874,No Group,441,4,0
2157,236,G2,56,1,63
154,874,No Group,441,4,0
9138,236,G2,56,1,63
9414,132,G1,35,1,32
2096,324,G3,88,9,83
2029,236,G2,56,1,63
9154,236,G2,56,1,63
678,132,G1,35,1,32
9327,132,G1,35,1,32
2065,236,G2,56,1,63
229,324,G3,88,9,83
12001,874,No Group,441,4,0
9309,324,G3,88,9,83
2064,324,G3,88,9,83
553,874,No Group,441,4,0
2114,324,G3,88,9,83
507,874,No Group,441,4,0
9146,236,G2,56,1,63
2021,324,G3,88,9,83
9148,132,G1,35,1,32
158,874,No Group,441,4,0
2183,874,No Group,441,4,0
9160,236,G2,56,1,63
402,324,G3,88,9,83
12210,874,No Group,441,4,0
145,874,No Group,441,4,0
2116,324,G3,88,9,83
183,874,No Group,441,4,0
121,874,No Group,441,4,0
532,874,No Group,441,4,0
9322,324,G3,88,9,83
2159,132,G1,35,1,32
2047,324,G3,88,9,83
53701,874,No Group,441,4,0
164,874,No Group,441,4,0
12209,874,No Group,441,4,0
2082,236,G2,56,1,63
138,874,No Group,441,4,0
2030,324,G3,88,9,83
2167,132,G1,35,1,32
9152,324,G3,88,9,83
306,874,No Group,441,4,0
2073,236,G2,56,1,63
2124,132,G1,35,1,32
15006,874,No Group,441,4,0
148,874,No Group,441,4,0
524,874,No Group,441,4,0
180,874,No Group,441,4,0
2175,132,G1,35,1,32
2035,324,G3,88,9,83
9325,132,G1,35,1,32
14001,874,No Group,441,4,0
533,874,No Group,441,4,0
515,874,No Group,441,4,0
2132,324,G3,88,9,83
18505,874,No Group,441,4,0
556,874,No Group,441,4,0
541,874,No Group,441,4,0
2045,236,G2,56,1,63
9302,132,G1,35,1,32
15003,874,No Group,441,4,0
572,874,No Group,441,4,0
2066,236,G2,56,1,63
658,324,G3,88,9,83
243,132,G1,35,1,32
56201,874,No Group,441,4,0
12202,874,No Group,441,4,0
189,874,No Group,441,4,0
2014,236,G2,56,1,63
2088,236,G2,56,1,63
557,874,No Group,441,4,0
2102,236,G2,56,1,63
2142,324,G3,88,9,83
120,874,No Group,441,4,0
2040,236,G2,56,1,63
14202,874,No Group,441,4,0
276,324,G3,88,9,83
2147,236,G2,56,1,63
2074,236,G2,56,1,63
2153,342,G4,97,9,83
514,874,No Group,441,4,0
505,874,No Group,441,4,0
2011,342,G4,97,9,83
298,324,G3,88,9,83
549,874,No Group,441,4,0
554,874,No Group,441,4,0
52201,874,No Group,441,4,0
141,874,No Group,441,4,0
2150,324,G3,88,9,83
2027,236,G2,56,1,63
9126,236,G2,56,1,63
653,236,G2,56,1,63
2174,132,G1,35,1,32
2019,236,G2,56,1,63
2143,132,G1,35,1,32
531,874,No Group,441,4,0
247,342,G4,97,9,83
2107,236,G2,56,1,63
12212,874,No Group,441,4,0
2056,132,G1,35,1,32
2006,236,G2,56,1,63
136,874,No Group,441,4,0
543,874,No Group,441,4,0
2076,236,G2,56,1,63
185,874,No Group,441,4,0
2015,236,G2,56,1,63
625,132,G1,35,1,32
305,874,No Group,441,4,0
506,874,No Group,441,4,0
151,874,No Group,441,4,0
286,132,G1,35,1,32
12207,874,No Group,441,4,0
2001,132,G1,35,1,32
2163,132,G1,35,1,32
9210,324,G3,88,9,83
2042,236,G2,56,1,63
692,132,G1,35,1,32
2134,324,G3,88,9,83
523,874,No Group,441,4,0
187,874,No Group,441,4,0
12205,874,No Group,441,4,0
226,324,G3,88,9,83
284,236,G2,56,1,63
546,874,No Group,441,4,0
9406,236,G2,56,1,63
401,324,G3,88,9,83
2181,874,No Group,441,4,0
150,874,No Group,441,4,0
9108,132,G1,35,1,32
9319,324,G3,88,9,83
2009,236,G2,56,1,63
293,236,G2,56,1,63
179,874,No Group,441,4,0
410,236,G2,56,1,63
2155,324,G3,88,9,83
133,874,No Group,441,4,0
12701,874,No Group,441,4,0
54701,874,No Group,441,4,0
9214,132,G1,35,1,32
227,324,G3,88,9,83
2093,236,G2,56,1,63
142,874,No Group,441,4,0
2178,874,No Group,441,4,0
9419,132,G1,35,1,32
18502,874,No Group,441,4,0
1471,874,No Group,441,4,0
12213,874,No Group,441,4,0
9330,874,No Group,441,4,0
255,236,G2,56,1,63
2117,324,G3,88,9,83
540,874,No Group,441,4,0
18503,874,No Group,441,4,0
2094,236,G2,56,1,63
638,342,G4,97,9,83
15001,874,No Group,441,4,0
2092,132,G1,35,1,32
9141,236,G2,56,1,63
2033,324,G3,88,9,83
2165,132,G1,35,1,32
9103,324,G3,88,9,83
12204,874,No Group,441,4,0
304,874,No Group,441,4,0
152,874,No Group,441,4,0
2164,132,G1,35,1,32
2018,236,G2,56,1,63
404,236,G2,56,1,63
2052,236,G2,56,1,63
134,874,No Group,441,4,0
2031,324,G3,88,9,83
2108,342,G4,97,9,83
186,874,No Group,441,4,0
409,342,G4,97,9,83
2160,236,G2,56,1,63
9134,236,G2,56,1,63
690,236,G2,56,1,63
225,236,G2,56,1,63
18301,874,No Group,441,4,0
294,236,G2,56,1,63
2016,236,G2,56,1,63
504,874,No Group,441,4,0
9313,132,G1,35,1,32
211,342,G4,97,9,83
2078,324,G3,88,9,83
251,342,G4,97,9,83
9153,236,G2,56,1,63
9314,236,G2,56,1,63
2168,132,G1,35,1,32
530,874,No Group,441,4,0
2008,324,G3,88,9,83
534,874,No Group,441,4,0
162,874,No Group,441,4,0
178,874,No Group,441,4,0
665,236,G2,56,1,63
2126,236,G2,56,1,63
535,874,No Group,441,4,0
261,236,G2,56,1,63
160,874,No Group,441,4,0
2152,132,G1,35,1,32
12214,874,No Group,441,4,0
119,874,No Group,441,4,0
2051,236,G2,56,1,63
509,874,No Group,441,4,0
157,874,No Group,441,4,0
18504,874,No Group,441,4,0
2154,236,G2,56,1,63
2010,324,G3,88,9,83
9130,874,No Group,441,4,0
517,874,No Group,441,4,0
2069,236,G2,56,1,63
2086,236,G2,56,1,63
688,236,G2,56,1,63
