*TRANSMODE,*DEST,THU,GIOLOCK,NGAYDONHANG
TPTS_TRAICAY_TT,112,5,15:30,2
TPTS_TRAICAY_TT,112,1,11:15,2
TPTS_TRAICAY_TT,112,4,15:30,2
TPTS_TRAICAY_TT,112,7,15:30,2
TPTS_TRAICAY_TT,112,6,15:30,2
TPTS_TRAICAY_TT,112,3,15:30,2
TPTS_TRAICAY_TT,112,2,12:00,3
TPTS_TRAICAY_TT,114,7,11:15,1
TPTS_TRAICAY_TT,114,2,11:00,1
TPTS_TRAICAY_TT,114,6,11:00,1
TPTS_TRAICAY_TT,114,5,11:00,1
TPTS_TRAICAY_TT,114,1,11:15,2
TPTS_TRAICAY_TT,114,4,11:00,1
TPTS_TRAICAY_TT,114,3,11:00,1
TPTS_TRAICAY_TT,118,4,11:00,1
TPTS_TRAICAY_TT,118,6,11:00,1
TPTS_TRAICAY_TT,118,5,11:00,1
TPTS_TRAICAY_TT,118,1,11:15,2
TPTS_TRAICAY_TT,118,7,11:15,1
TPTS_TRAICAY_TT,118,2,11:00,1
TPTS_TRAICAY_TT,118,3,11:00,1
TPTS_TRAICAY_TT,119,1,11:15,2
TPTS_TRAICAY_TT,119,4,11:00,2
TPTS_TRAICAY_TT,119,7,11:15,2
TPTS_TRAICAY_TT,119,5,11:00,2
TPTS_TRAICAY_TT,119,3,11:00,2
TPTS_TRAICAY_TT,119,2,11:15,3
TPTS_TRAICAY_TT,119,6,11:00,2
TPTS_TRAICAY_TT,120,7,11:15,2
TPTS_TRAICAY_TT,120,3,11:00,2
TPTS_TRAICAY_TT,120,1,11:15,2
TPTS_TRAICAY_TT,120,5,11:00,2
TPTS_TRAICAY_TT,120,4,11:00,2
TPTS_TRAICAY_TT,120,6,11:00,2
TPTS_TRAICAY_TT,120,2,11:15,3
TPTS_TRAICAY_TT,121,7,11:15,2
TPTS_TRAICAY_TT,121,6,11:00,2
TPTS_TRAICAY_TT,121,2,11:15,3
TPTS_TRAICAY_TT,121,3,11:00,2
TPTS_TRAICAY_TT,121,1,11:15,2
TPTS_TRAICAY_TT,121,4,11:00,2
TPTS_TRAICAY_TT,121,5,11:00,2
TPTS_TRAICAY_TT,122,2,12:00,3
TPTS_TRAICAY_TT,122,1,11:15,2
TPTS_TRAICAY_TT,122,3,15:30,2
TPTS_TRAICAY_TT,122,4,15:30,2
TPTS_TRAICAY_TT,122,6,15:30,2
TPTS_TRAICAY_TT,122,5,15:30,2
TPTS_TRAICAY_TT,122,7,15:30,2
TPTS_TRAICAY_TT,123,5,11:00,1
TPTS_TRAICAY_TT,123,3,11:00,1
TPTS_TRAICAY_TT,123,1,11:15,2
TPTS_TRAICAY_TT,123,7,11:15,1
TPTS_TRAICAY_TT,123,4,11:00,1
TPTS_TRAICAY_TT,123,6,11:00,1
TPTS_TRAICAY_TT,123,2,11:00,1
TPTS_TRAICAY_TT,124,4,11:00,1
TPTS_TRAICAY_TT,124,6,11:00,1
TPTS_TRAICAY_TT,124,5,11:00,1
TPTS_TRAICAY_TT,124,3,11:00,1
TPTS_TRAICAY_TT,124,1,11:15,2
TPTS_TRAICAY_TT,124,7,11:15,1
TPTS_TRAICAY_TT,124,2,11:00,1
TPTS_TRAICAY_TT,127,4,11:00,1
TPTS_TRAICAY_TT,127,1,11:15,2
TPTS_TRAICAY_TT,127,7,11:15,1
TPTS_TRAICAY_TT,127,2,11:00,1
TPTS_TRAICAY_TT,127,5,11:00,1
TPTS_TRAICAY_TT,127,6,11:00,1
TPTS_TRAICAY_TT,127,3,11:00,1
TPTS_TRAICAY_TT,128,2,12:00,3
TPTS_TRAICAY_TT,128,1,11:15,2
TPTS_TRAICAY_TT,128,7,15:30,2
TPTS_TRAICAY_TT,128,6,15:30,2
TPTS_TRAICAY_TT,128,3,15:30,2
TPTS_TRAICAY_TT,128,4,15:30,2
TPTS_TRAICAY_TT,128,5,15:30,2
TPTS_TRAICAY_TT,130,3,11:00,1
TPTS_TRAICAY_TT,130,1,11:15,2
TPTS_TRAICAY_TT,130,4,11:00,1
TPTS_TRAICAY_TT,130,5,11:00,1
TPTS_TRAICAY_TT,130,6,11:00,1
TPTS_TRAICAY_TT,130,2,11:00,1
TPTS_TRAICAY_TT,130,7,11:15,1
TPTS_TRAICAY_TT,131,3,11:00,1
TPTS_TRAICAY_TT,131,5,11:00,1
TPTS_TRAICAY_TT,131,2,11:00,1
TPTS_TRAICAY_TT,131,4,11:00,1
TPTS_TRAICAY_TT,131,6,11:00,1
TPTS_TRAICAY_TT,131,7,11:15,1
TPTS_TRAICAY_TT,131,1,11:15,2
TPTS_TRAICAY_TT,132,2,12:00,3
TPTS_TRAICAY_TT,132,6,15:30,2
TPTS_TRAICAY_TT,132,4,15:30,2
TPTS_TRAICAY_TT,132,5,15:30,2
TPTS_TRAICAY_TT,132,1,11:15,2
TPTS_TRAICAY_TT,132,7,15:30,2
TPTS_TRAICAY_TT,132,3,15:30,2
TPTS_TRAICAY_TT,133,7,11:15,1
TPTS_TRAICAY_TT,133,3,11:00,1
TPTS_TRAICAY_TT,133,5,11:00,1
TPTS_TRAICAY_TT,133,4,11:00,1
TPTS_TRAICAY_TT,133,1,11:15,2
TPTS_TRAICAY_TT,133,2,11:00,1
TPTS_TRAICAY_TT,133,6,11:00,1
TPTS_TRAICAY_TT,134,4,11:00,1
TPTS_TRAICAY_TT,134,6,11:00,1
TPTS_TRAICAY_TT,134,2,11:00,1
TPTS_TRAICAY_TT,134,1,11:15,2
TPTS_TRAICAY_TT,134,7,11:15,1
TPTS_TRAICAY_TT,134,5,11:00,1
TPTS_TRAICAY_TT,134,3,11:00,1
TPTS_TRAICAY_TT,135,3,11:00,1
TPTS_TRAICAY_TT,135,6,11:00,1
TPTS_TRAICAY_TT,135,7,11:15,1
TPTS_TRAICAY_TT,135,4,11:00,1
TPTS_TRAICAY_TT,135,5,11:00,1
TPTS_TRAICAY_TT,135,1,11:15,2
TPTS_TRAICAY_TT,135,2,11:00,1
TPTS_TRAICAY_TT,136,3,11:00,1
TPTS_TRAICAY_TT,136,1,11:15,2
TPTS_TRAICAY_TT,136,5,11:00,1
TPTS_TRAICAY_TT,136,7,11:15,1
TPTS_TRAICAY_TT,136,4,11:00,1
TPTS_TRAICAY_TT,136,2,11:00,1
TPTS_TRAICAY_TT,136,6,11:00,1
TPTS_TRAICAY_TT,137,6,15:30,2
TPTS_TRAICAY_TT,137,7,15:30,2
TPTS_TRAICAY_TT,137,3,15:30,2
TPTS_TRAICAY_TT,137,4,15:30,2
TPTS_TRAICAY_TT,137,1,11:15,2
TPTS_TRAICAY_TT,137,5,15:30,2
TPTS_TRAICAY_TT,137,2,12:00,3
TPTS_TRAICAY_TT,138,3,11:00,1
TPTS_TRAICAY_TT,138,7,11:15,1
TPTS_TRAICAY_TT,138,1,11:15,2
TPTS_TRAICAY_TT,138,5,11:00,1
TPTS_TRAICAY_TT,138,2,11:00,1
TPTS_TRAICAY_TT,138,6,11:00,1
TPTS_TRAICAY_TT,138,4,11:00,1
TPTS_TRAICAY_TT,140,7,15:30,2
TPTS_TRAICAY_TT,140,1,11:15,2
TPTS_TRAICAY_TT,140,2,12:00,3
TPTS_TRAICAY_TT,140,3,15:30,2
TPTS_TRAICAY_TT,140,6,15:30,2
TPTS_TRAICAY_TT,140,4,15:30,2
TPTS_TRAICAY_TT,140,5,15:30,2
TPTS_TRAICAY_TT,141,5,11:00,1
TPTS_TRAICAY_TT,141,3,11:00,1
TPTS_TRAICAY_TT,141,6,11:00,1
TPTS_TRAICAY_TT,141,4,11:00,1
TPTS_TRAICAY_TT,141,7,11:15,1
TPTS_TRAICAY_TT,141,2,11:00,1
TPTS_TRAICAY_TT,141,1,11:15,2
TPTS_TRAICAY_TT,142,6,11:00,2
TPTS_TRAICAY_TT,142,5,11:00,2
TPTS_TRAICAY_TT,142,2,11:15,3
TPTS_TRAICAY_TT,142,7,11:15,2
TPTS_TRAICAY_TT,142,1,11:15,2
TPTS_TRAICAY_TT,142,4,11:00,2
TPTS_TRAICAY_TT,142,3,11:00,2
TPTS_TRAICAY_TT,144,7,11:15,2
TPTS_TRAICAY_TT,144,5,11:00,2
TPTS_TRAICAY_TT,144,2,11:15,3
TPTS_TRAICAY_TT,144,1,11:15,2
TPTS_TRAICAY_TT,144,3,11:00,2
TPTS_TRAICAY_TT,144,4,11:00,2
TPTS_TRAICAY_TT,144,6,11:00,2
TPTS_TRAICAY_TT,145,4,15:30,2
TPTS_TRAICAY_TT,145,7,15:30,2
TPTS_TRAICAY_TT,145,1,11:15,2
TPTS_TRAICAY_TT,145,6,15:30,2
TPTS_TRAICAY_TT,145,5,15:30,2
TPTS_TRAICAY_TT,145,3,15:30,2
TPTS_TRAICAY_TT,145,2,12:00,3
TPTS_TRAICAY_TT,147,5,11:00,2
TPTS_TRAICAY_TT,147,4,11:00,2
TPTS_TRAICAY_TT,147,3,11:00,2
TPTS_TRAICAY_TT,147,6,11:00,2
TPTS_TRAICAY_TT,147,7,11:15,2
TPTS_TRAICAY_TT,147,2,11:15,3
TPTS_TRAICAY_TT,147,1,11:15,2
TPTS_TRAICAY_TT,148,7,15:30,2
TPTS_TRAICAY_TT,148,6,15:30,2
TPTS_TRAICAY_TT,148,5,15:30,2
TPTS_TRAICAY_TT,148,4,15:30,2
TPTS_TRAICAY_TT,148,3,15:30,2
TPTS_TRAICAY_TT,148,1,11:15,2
TPTS_TRAICAY_TT,148,2,12:00,3
TPTS_TRAICAY_TT,150,5,15:30,2
TPTS_TRAICAY_TT,150,4,15:30,2
TPTS_TRAICAY_TT,150,1,11:15,2
TPTS_TRAICAY_TT,150,6,15:30,2
TPTS_TRAICAY_TT,150,7,15:30,2
TPTS_TRAICAY_TT,150,3,15:30,2
TPTS_TRAICAY_TT,150,2,12:00,3
TPTS_TRAICAY_TT,151,4,11:00,1
TPTS_TRAICAY_TT,151,1,11:15,2
TPTS_TRAICAY_TT,151,5,11:00,1
TPTS_TRAICAY_TT,151,6,11:00,1
TPTS_TRAICAY_TT,151,7,11:15,1
TPTS_TRAICAY_TT,151,3,11:00,1
TPTS_TRAICAY_TT,151,2,11:00,1
TPTS_TRAICAY_TT,152,2,11:00,1
TPTS_TRAICAY_TT,152,3,11:00,1
TPTS_TRAICAY_TT,152,7,11:15,1
TPTS_TRAICAY_TT,152,1,11:15,2
TPTS_TRAICAY_TT,152,5,11:00,1
TPTS_TRAICAY_TT,152,6,11:00,1
TPTS_TRAICAY_TT,152,4,11:00,1
TPTS_TRAICAY_TT,153,1,11:15,2
TPTS_TRAICAY_TT,153,3,11:00,1
TPTS_TRAICAY_TT,153,4,11:00,1
TPTS_TRAICAY_TT,153,5,11:00,1
TPTS_TRAICAY_TT,153,6,11:00,1
TPTS_TRAICAY_TT,153,2,11:00,1
TPTS_TRAICAY_TT,153,7,11:15,1
TPTS_TRAICAY_TT,154,2,11:00,1
TPTS_TRAICAY_TT,154,5,11:00,1
TPTS_TRAICAY_TT,154,7,11:15,1
TPTS_TRAICAY_TT,154,4,11:00,1
TPTS_TRAICAY_TT,154,3,11:00,1
TPTS_TRAICAY_TT,154,6,11:00,1
TPTS_TRAICAY_TT,154,1,11:15,2
TPTS_TRAICAY_TT,155,2,11:00,1
TPTS_TRAICAY_TT,155,7,11:15,1
TPTS_TRAICAY_TT,155,5,11:00,1
TPTS_TRAICAY_TT,155,3,11:00,1
TPTS_TRAICAY_TT,155,6,11:00,1
TPTS_TRAICAY_TT,155,1,11:15,2
TPTS_TRAICAY_TT,155,4,11:00,1
TPTS_TRAICAY_TT,157,4,11:00,1
TPTS_TRAICAY_TT,157,6,11:00,1
TPTS_TRAICAY_TT,157,3,11:00,1
TPTS_TRAICAY_TT,157,2,11:00,1
TPTS_TRAICAY_TT,157,5,11:00,1
