*Loc,Descr,Loc_Type,HIERARCHYLEVEL,UDC_ClusterDescr,UDC_ClusterID,UDC_CountryDescr,UDC_CountryID,UDC_Create_Dtetm,UDC_Level,UDC_RegionDescr,UDC_RegionID,UDC_Update_Dtetm,UDC_AreaID,UDC_AreaDescr,Type,UDC_Delete
 ,Blank Loc (system row - do not delete),1, , , , , ,,1, , ,, , ,1,FALSE
10008,233-CTY Co phan TP A Chau,1, ,Vendor,VENDOR,Vietnam,VN,2/10/2020 14:40,1,VENDOR,VEND,6/9/2020 9:29, , ,1,FALSE
10019,222-CTy CP VN Ky Nghe Suc San,1, ,Vendor,VENDOR,Vietnam,VN,2/10/2020 14:40,1,VENDOR,VEND,6/9/2020 9:29, , ,1,FALSE
10023,111-Cty Ajinomoto Bien Hoa,1, ,vendor,VENDOR,Vietnam,VN,,1,VENDOR,VEND,, , ,1,FALSE
10042,*233-Cty CP TP Vinh Thanh Dat,1, , , ,Vendor, ,2/28/2024 14:32,1, , ,2/28/2024 14:32, , ,1,FALSE
10100,110-Cty CP TP Bich Chi,1, ,Vendor,VENDOR,Vietnam,VN,2/10/2020 14:40,1,VENDOR,VEND,6/9/2020 9:29, , ,1,FALSE
10176,130-CTY CP TP Binh Tay,1, ,Vendor,VENDOR, , ,8/12/2021 15:44,1, , ,8/12/2021 15:44, , ,1,FALSE
10253,110-Cty CP DV Phattrien TTruong C.L,1, ,vendor,VENDOR,Vietnam,VN,,1,VENDOR,VEND,, , ,1,FALSE
10268,110-Cty Co Phan Tap Doan KIDO-NR,1, ,Vendor,VENDOR,Vietnam,VN,,1,VENDOR,VEND,, , ,1,FALSE
10283,110-Cty CP Mondelez Kinh Do VN,1, ,Vendor,VENDOR,Vietnam,VN,2/10/2020 14:40,1,VENDOR,VEND,6/9/2020 9:29, , ,1,FALSE
10324,100-Cty TNHH TM XNK Pham Gia Phat,1, , , , ,VENDOR,3/6/2024 3:57,1, , ,3/6/2024 3:57, , ,1,FALSE
10325,233-CTy TNHH Di Dai Hung,1, , , , ,VENDOR,3/6/2024 3:57,1, , ,3/6/2024 3:57, , ,1,FALSE
10326,233-CTY TNHH Nhua Duc Dat,1, , , , ,VENDOR,3/6/2024 3:57,1, , ,3/6/2024 3:57, , ,1,FALSE
10327,100-Cty TNHH TP Khang Phuc-NR,1, ,Vendor,VENDOR,Vietnam,VN,,1,VENDOR,VEND,, , ,1,FALSE
10328,233-Co so che bien Hoang Quan,1, , , , ,VENDOR,3/6/2024 3:57,1, , ,3/6/2024 3:57, , ,1,FALSE
10329,100-Cty TNHH Nong trai xanh Long An,1, , , , ,VENDOR,3/6/2024 3:57,1, , ,3/6/2024 3:57, , ,1,FALSE
10330,Pham Gia Phat,1, , , , ,VENDOR,3/6/2024 3:57,1, , ,3/6/2024 3:57, , ,1,FALSE
10331,233-NKD-CT TNHHMTVDienGiaDungSunHan,1, , , , ,VENDOR,3/6/2024 3:57,1, , ,3/6/2024 3:57, , ,1,FALSE
10464,130-CTY Co Phan VinaMit,1, ,Vendor,VENDOR,Vietnam,VN,2/10/2020 14:40,1,VENDOR,VEND,6/9/2020 9:29, , ,1,FALSE
10673,100-CtyTNHHSXTMDVNSTPHatViet-NR,1, ,Vendor,VENDOR,Vietnam,VN,,1,VENDOR,VEND,, , ,1,FALSE
10734,100-HKD Co so SX Ba Khanh,1, , , , ,VENDOR,3/6/2024 3:57,1, , ,3/6/2024 3:57, , ,1,FALSE
10777,233-Cty TNHH Dau tu TMSX D&D-TPTS,1, , , ,Vendor, ,2/28/2024 14:32,1, , ,2/28/2024 14:32, , ,1,FALSE
10869,110-Cty TNHH Hoa My Pham Thai Hoa,1, ,vendor,VENDOR,Vietnam,VN,,1,VENDOR,VEND,, , ,1,FALSE
10930,222-CN 1-Cty TNHH DV TM Thanh Ngoc,1, ,Vendor,VENDOR,Vietnam,VN,2/10/2020 14:40,1,VENDOR,VEND,6/9/2020 9:29, , ,1,FALSE
10949,233-Cty TNHH Dau tu SXTM Ngoc Thanh,1, , , ,Vendor, ,2/28/2024 14:32,1, , ,2/28/2024 14:32, , ,1,FALSE
10985,100-Cty TM&PT Cong Nghe Kolend,1, ,Vendor,VENDOR, , ,8/12/2021 15:44,1, , ,8/12/2021 15:44, , ,1,FALSE
11011,100-CT TNHH SX Do Gia DungElmich-NR,1, ,Vendor,VENDOR,Vietnam,VN,,1,VENDOR,VEND,, , ,1,FALSE
11041,111-CN CTY TNHH Lavie,1, ,vendor,VENDOR,Vietnam,VN,,1,VENDOR,VEND,, , ,1,FALSE
11119,110-Cty TNHH Lotte Viet Nam,1, ,vendor,VENDOR,Vietnam,VN,,1,VENDOR,VEND,, , ,1,FALSE
11144,110-Cty CP CBTHS Lien Thanh,1, ,Vendor,VENDOR, , ,8/12/2021 15:44,1, , ,8/12/2021 15:44, , ,1,FALSE
112,Co.opMart Quy Nhon,6,STORE,CoopMart,CM,Vietnam,VN,,1,Mien Trung,MTR,,B,Mien Trung,1,FALSE
11266,110-Cty CP Tap Doan Muoi Mien Nam,1, ,Vendor,VENDOR, , ,8/12/2021 15:44,1, , ,8/12/2021 15:44, , ,1,FALSE
11331,222-CTy Co Phan Quoc Te Minh Viet,1, ,Vendor,VENDOR,Vietnam,VN,2/10/2020 14:40,1,VENDOR,VEND,6/9/2020 9:29, , ,1,FALSE
11337,233-Thach Minh Lan,1, , , ,Vendor, ,2/28/2024 14:32,1, , ,2/28/2024 14:32, , ,1,FALSE
11354,233-Cty CP TP One One Mien Nam,1, ,Vendor,VENDOR,Vietnam,VN,,1,VENDOR,VEND,, , ,1,FALSE
11380,110-CTY CP bot giat NET,1, ,vendor,VENDOR,Vietnam,VN,,1,VENDOR,VEND,, , ,1,FALSE
