*Item,Descr,UDC_SEQ_ITEM,UDC_ARTT2,UnitPrice,UDC_ARTT1,UDC_CF_G1,UDC_CF_G2,UDC_CF_G3,UDC_CF_G4,UDC_CF_G5
3499508,Banh trong vi khoai mon 75g,192,CBNC,"6,182.000",,,,,,
3499509,Banh trong vi gac 75g,193,CBNC,"6,182.000",,,,,,
3499510,Banh trong vi ngo 75g,194,CBNC,"6,182.000",,,,,,
3499511,Banh trong vi la dua 75g,195,CBNC,"6,182.000",,,,,,
3515409,Xuc xich ca hai san 500g-TA,398,CBNC,"45,000.000",,,,,,
3515410,Xuc xich ca pho mai 500g-TA,399,CBNC,"53,900.000",,,,,,
3529168,Hat macca say nut kg,420,CBNC,"217,800.000",,,,,,
3552253,Xuc xich 300g-TNP,242,CBNC,"48,000.000",,,,,,
3552255,Bo vien gan 300g-TNP,244,CBNC,"87,500.000",,,,,,
3557670,Kho muc rim nuoc dua 150g-DD,302,CBNC,"73,500.000",,,,,,
3563151,Vit tam muoi vi thai 500g-CP,414,CBNC,"54,630.000",,,,,,
3563152,Vit tam chao 500g-CP,415,CBNC,"54,630.000",1,,,,,
3563153,Vit tam chien me 500g-CP,416,CBNC,"55,556.000",1,,,,,
3563154,Vit kho gung 500g-CP,,CBNC,"55,556.000",,,,,,
3569618,Tau hu tuoi CO HAI 180g-ATV,413,CBNC,"12,000.000",,,,,,
3570195,Banh hoi 1kg-BK,42,CBNC,"25,500.000",,,,,,
3571173,Com chay chabong k.cay 100g-CP,116,CBNC,"23,000.000",,,,,,
3571174,Com chay chabong cayvua100g-CP,117,CBNC,"23,000.000",,,,,,
3571847,Banh lava 2 vi 71g,94,CBNC,"20,000.000",,,,,,
3571898,Tuong cham goi cuon 180g-NT,152,CBNC,"13,000.000",,,,,,
3573562,Thach an thuc duong 480g-CB,309,CBNC,"26,000.000",,,,,,
3573563,Thach an thuc duong 230g-CB,310,CBNC,"16,000.000",,,,,,
3573564,Thach tien thao loc 4x128g-CB,311,CBNC,"27,200.000",,,,,,
3575160,Tac trai say mat ong 100g-PGP,95,CBNC,"32,500.000",,,,,,
3575161,Thanh long say dua non 80g-PGP,96,CBNC,"22,000.000",,,,,,
3575162,Xoai say muoi ot 100g-PGP,97,CBNC,"30,500.000",,,,,,
